"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2026","4.73","4.74","4.76","4.69","32.57M","-0.42%"
"01/15/2026","4.75","4.67","4.75","4.64","35.17M","1.71%"
"01/14/2026","4.67","4.64","4.70","4.63","35.36M","0.65%"
"01/13/2026","4.64","4.60","4.65","4.60","40.90M","1.09%"
"01/12/2026","4.59","4.57","4.62","4.56","32.55M","0.22%"
"01/09/2026","4.58","4.49","4.58","4.48","25.24M","2.00%"
"01/08/2026","4.49","4.53","4.53","4.48","19.83M","-0.88%"
"01/07/2026","4.53","4.53","4.53","4.50","16.66M","0.22%"
"01/06/2026","4.52","4.56","4.56","4.50","16.41M","-0.88%"
"01/05/2026","4.56","4.48","4.56","4.48","17.01M","1.56%"
"01/02/2026","4.49","4.53","4.53","4.47","12.59M","-1.10%"
"12/31/2025","4.54","4.52","4.55","4.47","17.27M","0.00%"
"12/30/2025","4.54","4.50","4.55","4.49","15.03M","0.67%"
"12/29/2025","4.51","4.52","4.55","4.44","21.92M","-0.22%"
"12/26/2025","4.52","4.52","4.52","4.49","7.51M","0.00%"
"12/24/2025","4.52","4.52","4.53","4.49","11.52M","0.00%"
"12/23/2025","4.52","4.52","4.53","4.50","8.73M","-0.22%"
"12/22/2025","4.53","4.50","4.54","4.49","10.21M","0.22%"
"12/19/2025","4.52","4.42","4.52","4.42","27.96M","2.49%"
"12/18/2025","4.41","4.40","4.43","4.40","13.78M","0.00%"
"12/17/2025","4.41","4.46","4.47","4.38","20.23M","-1.34%"
"12/16/2025","4.47","4.49","4.49","4.45","11.39M","-0.45%"
"12/15/2025","4.49","4.45","4.49","4.45","7.37M","0.45%"
"12/12/2025","4.47","4.41","4.47","4.41","22.12M","1.13%"
"12/11/2025","4.42","4.37","4.42","4.36","13.74M","1.14%"
"12/10/2025","4.37","4.37","4.39","4.36","8.22M","0.00%"
"12/09/2025","4.37","4.40","4.42","4.35","10.20M","0.00%"
"12/08/2025","4.37","4.39","4.39","4.33","10.76M","-0.46%"
"12/05/2025","4.39","4.39","4.39","4.35","10.33M","0.00%"
"12/04/2025","4.39","4.43","4.44","4.37","10.41M","-1.13%"
"12/03/2025","4.44","4.41","4.44","4.40","16.13M","0.68%"
"12/02/2025","4.41","4.36","4.43","4.36","22.29M","1.15%"
"12/01/2025","4.36","4.35","4.38","4.34","12.10M","0.23%"
"11/28/2025","4.35","4.34","4.39","4.29","16.68M","0.00%"
"11/27/2025","4.35","4.38","4.38","4.34","14.25M","-0.68%"
"11/26/2025","4.38","4.30","4.38","4.30","18.20M","1.86%"
"11/25/2025","4.30","4.30","4.31","4.29","7.92M","0.00%"
"11/24/2025","4.30","4.28","4.31","4.27","67.04M","0.47%"
"11/21/2025","4.28","4.29","4.29","4.27","7.09M","-0.47%"
"11/20/2025","4.30","4.28","4.33","4.27","19.98M","0.47%"
"11/19/2025","4.28","4.24","4.28","4.24","13.26M","0.71%"
"11/18/2025","4.25","4.30","4.31","4.24","19.98M","-1.16%"
"11/17/2025","4.30","4.29","4.30","4.28","10.36M","0.23%"
"11/14/2025","4.29","4.29","4.30","4.27","10.91M","-0.23%"
"11/13/2025","4.30","4.27","4.32","4.27","10.09M","0.70%"
"11/12/2025","4.27","4.30","4.31","4.27","13.50M","-0.70%"
"11/11/2025","4.30","4.28","4.31","4.27","9.07M","0.70%"
"11/10/2025","4.27","4.27","4.30","4.26","9.64M","0.00%"
"11/07/2025","4.27","4.26","4.28","4.25","4.64M","0.23%"
